<<<<<<< HEAD
=======
id,interviewId,userId,overallScore,resumeScore,technicalScore,codingScore,recommendation,createdAt
6a5ba1f45d94bf900220af37,6a5ba1455d94bf900220af1f,6a566f322f681d770359254e,90,90,89,89,"The candidate demonstrates strong technical understanding, excellent problem-solving abilities, and a clear vision for integrating diverse technologies. Highly recommended for a Software Engineer role, particularly where full-stack capabilities intersecting with IoT/AI are valued.",2026-07-18T15:55:32.523Z
6a5e6809d350c2fbc7262445,6a5e67ebd350c2fbc726242d,6a566fbc2f681d770359254f,80,85,85,75,"Based on the implied strong project experience and conceptual understanding, the candidate is recommended for a Software Engineer role. Further evaluation of problem-solving skills through a live coding session would be beneficial.",2026-07-20T18:25:13.260Z
6a61f6cb3f262c16239bddfb,6a61f6b43f262c16239bdde3,6a566f322f681d770359254e,0,0,0,0,No candidate answers were provided for analysis. Please provide responses to evaluate the candidate's performance.,2026-07-23T11:11:07.216Z
6a85e4c1f086a884b54e415f,6a85e4b4f086a884b54e4147,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T17:15:45.816Z
6a85e7fef086a884b54e4299,6a85e7ccf086a884b54e4261,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T17:29:34.243Z
6a85e98af086a884b54e44df,6a85e92df086a884b54e44a8,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T17:36:10.123Z
6a85ea63f086a884b54e4645,6a85ea5af086a884b54e462e,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T17:39:47.613Z
6a85ed854142e101ec21cf88,6a85ec2a4142e101ec21c677,6a566f322f681d770359254e,3,13,0,0,Needs Practice,2026-08-19T17:53:09.409Z
6a85ef7ee7e4b9b75f8c3625,6a85eaabf086a884b54e46ec,6a566f322f681d770359254e,37,16,0,85,Needs Practice,2026-08-19T18:01:34.459Z
6a85f2e50e0c98c2e7628ef2,6a85f19f0e0c98c2e7628780,6a566f322f681d770359254e,38,0,10,85,Needs Practice,2026-08-19T18:16:05.438Z
6a85f3210e0c98c2e7628fc6,6a85f3070e0c98c2e7628fa5,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T18:17:05.767Z
6a85f53bbef08ba567606044,6a85f52dbef08ba567605e5b,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T18:26:03.893Z
6a85f599bef08ba567606326,6a85f542bef08ba567606175,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T18:27:37.702Z
6a85f760bef08ba5676063d5,6a85f6a5bef08ba567606369,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T18:35:12.363Z
6a85f8c3a14e81e2d90dfcd0,6a85f8aca14e81e2d90dfcaf,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T18:41:07.021Z
6a85f9ea1d1f9cab561fd71d,6a85f9c61d1f9cab561fd316,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T18:46:02.418Z
6a85fa691d1f9cab561fd803,6a85f9fd1d1f9cab561fd781,6a566f322f681d770359254e,34,0,0,85,Needs Practice,2026-08-19T18:48:09.862Z
6a85fba0f62995276eaa4d45,6a85fb96f62995276eaa4d2f,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T18:53:20.346Z
6a85fc4d94df39d2f3c1351d,6a85fc2b94df39d2f3c13060,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-19T18:56:13.740Z
6a85ff3fe565a8e5436ed510,6a85fedae565a8e5436ed4b6,6a566fbc2f681d770359254f,34,0,0,85,Needs Practice,2026-08-19T19:08:47.689Z
<<<<<<< HEAD
=======
6a85ff70829ee39d4399cf4d,6a85ff53829ee39d4399cf1d,6a566f322f681d770359254e,11,0,0,0,Needs Practice,2026-08-19T19:09:36.256Z
<<<<<<< HEAD
>>>>>>> ae75443ade46d8602b112960c3fc3de682699961
=======
6a870948b7bdf98d600cb4c3,6a870886b7bdf98d600caacd,6a566f322f681d770359254e,34,0,0,85,Needs Practice,2026-08-20T14:03:52.918Z
6a870967b7bdf98d600cb4eb,6a870957b7bdf98d600cb4c9,6a566f322f681d770359254e,0,0,0,0,Needs Practice,2026-08-20T14:04:23.109Z
6a87194ca164a418b675b2a9,6a871896a164a418b675adfa,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T15:12:12.910Z
6a871a4da164a418b675b465,6a871a19a164a418b675b426,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T15:16:29.473Z
6a8720053548f9571c36a1c9,6a871ee7eb06d821da7e7689,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T15:40:53.726Z
6a872d3e1509f3ae28455fce,6a872ced1509f3ae28455f7f,6a870b4da877b7cdfe747f93,15,0,0,50,Needs Practice,2026-08-20T16:37:19.016Z
6a873121d786858d05be184f,6a872e79809fc1c2e125fc4a,6a870b4da877b7cdfe747f93,15,0,0,50,Needs Practice,2026-08-20T16:53:53.332Z
6a8731615e5074c446fff952,6a873129d786858d05be1928,6a870b4da877b7cdfe747f93,15,0,0,50,Needs Practice,2026-08-20T16:54:57.958Z
6a87317f5e5074c446fffb81,6a8731675e5074c446fff997,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T16:55:27.219Z
6a873f1e725a1da7e547239b,6a873f0a725a1da7e54721f8,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T17:53:34.586Z
6a87406261516ea2a38c29a8,6a87405a61516ea2a38c2898,6a870b4da877b7cdfe747f93,0,0,0,0,Needs Practice,2026-08-20T17:58:58.843Z
